split,image,frame,nearest_train_by_frame,frame_gap,nearest_train_by_look,hash_distance
valid,frame_with_red_137_jpg.rf.356b5ba333c0e426a8162a6214fa48bb.jpg,137,frame_with_red_139_jpg.rf.dcc6a1e1500ec4632112ebbd00de3f76.jpg,2,frame_with_red_11926_jpg.rf.01c99ca66010306e809a4c4cdf59156f.jpg,15
valid,frame_with_red_1393_jpg.rf.c660efa3166e4a308cdc6b9325728117.jpg,1393,frame_with_red_1399_jpg.rf.a5d77c5f151f16de4e4580b3906c1cc8.jpg,6,frame_with_red_4559_jpg.rf.9a77a90df6af5f8b7ad22e18588782d4.jpg,18
valid,frame_with_red_1433_jpg.rf.d9ef670a6e69fe70bb98fdc6e7e8652a.jpg,1433,frame_with_red_1439_jpg.rf.169ef5716b331550700efcbfe727157d.jpg,6,frame_with_red_1290_jpg.rf.d1eb8d45ca7c0ce9528f0cb9ee60e004.jpg,21
valid,frame_with_red_1456_jpg.rf.d034d921b24798902a0fe6d02a9d6846.jpg,1456,frame_with_red_1458_jpg.rf.c2594213d1ff80e7c369162b1aa25bd4.jpg,2,frame_with_red_5662_jpg.rf.60ae8d522ff54a060ed8627739d61fe0.jpg,19
valid,frame_with_red_1571_jpg.rf.c738d8a97f5ab75566f5d52f851ac62e.jpg,1571,frame_with_red_1570_jpg.rf.0bf4bda14cc36d83e0042b1df4d2c7c3.jpg,1,frame_with_red_7771_jpg.rf.0b1d612337acb782b95559ea540862bc.jpg,17
valid,frame_with_red_1572_jpg.rf.199f86b307ee7466970ae4d2b5d85010.jpg,1572,frame_with_red_1570_jpg.rf.0bf4bda14cc36d83e0042b1df4d2c7c3.jpg,2,frame_with_red_1127_jpg.rf.7d930b722ae42c71f7882a2fd235d885.jpg,14
valid,frame_with_red_1595_jpg.rf.8bda7513e7d714c86c15e470fcdeb8a6.jpg,1595,frame_with_red_1593_jpg.rf.b0bd121a36649acfcfd02fbd053e21be.jpg,2,frame_with_red_3050_jpg.rf.3381f55b873c5ed19d9df9b4600dc6dd.jpg,13
valid,frame_with_red_1688_jpg.rf.9c025fe5d8243749bd3cea963f951549.jpg,1688,frame_with_red_1687_jpg.rf.1e4ac486e7dce702ebf9a11ee247eba3.jpg,1,frame_with_red_4736_jpg.rf.a423a61db2d046e6ebcf43e0c33d8bfa.jpg,17
valid,frame_with_red_1782_jpg.rf.81a2a23cd11faeacdd53731f8e5d2d49.jpg,1782,frame_with_red_1780_jpg.rf.ef22982544122e1ee25a29ef6d1bea9f.jpg,2,frame_with_red_3851_jpg.rf.a4982c30282e90886322241a4b941eb7.jpg,24
valid,frame_with_red_1823_jpg.rf.03473f915e83ecc2a006f642bc6abec2.jpg,1823,frame_with_red_1834_jpg.rf.829ef8d72ca640c3fa6b217cfdeca72d.jpg,11,frame_with_red_5021_jpg.rf.a350b01d05c0fdaa536fa34a218ed0f1.jpg,17
valid,frame_with_red_1862_jpg.rf.d625acf22d53b9372878352f3823b01a.jpg,1862,frame_with_red_1863_jpg.rf.925d8874a1cc40f11442a4a9f7ceec09.jpg,1,frame_with_red_5054_jpg.rf.da4f0e3b7b1ffd40b39db066a3e28495.jpg,16
valid,frame_with_red_1892_jpg.rf.86dccb80bf0b61a71a04e207d60a6cee.jpg,1892,frame_with_red_1889_jpg.rf.9782a7ac94153555e7e3843049fbdce3.jpg,3,frame_with_red_1399_jpg.rf.a5d77c5f151f16de4e4580b3906c1cc8.jpg,25
valid,frame_with_red_1903_jpg.rf.2ffe315cb0fe1a908eafe3e649fffc41.jpg,1903,frame_with_red_1896_jpg.rf.5b6675cf4febd38c47e6a53be42d6c1a.jpg,7,frame_with_red_5035_jpg.rf.44e62969b9a92d5df498f60b7935a326.jpg,22
valid,frame_with_red_1946_jpg.rf.73ea57198a4ceed1a5c4ca690a70f9b2.jpg,1946,frame_with_red_1946_jpg.rf.944d490ec341c7117dfa4b9ebc545ecd.jpg,0,frame_with_red_2186_jpg.rf.3ca0d1825f551441dd2101e8e4c60d69.jpg,19
valid,frame_with_red_1948_jpg.rf.d83430522cb8a7fd1f4599777cd646ed.jpg,1948,frame_with_red_1949_jpg.rf.7f2cb21ca1091b4b8ea82d1a97cac7b1.jpg,1,frame_with_red_3664_jpg.rf.1c510e1d43a590ef6b8cf60d49fc7b9e.jpg,19
valid,frame_with_red_2046_jpg.rf.caf9fd209eec9618cffde823ee0ec3a7.jpg,2046,frame_with_red_2041_jpg.rf.ca0d4c591e115e3e0e1a55e7ec94d457.jpg,5,frame_with_red_1780_jpg.rf.ef22982544122e1ee25a29ef6d1bea9f.jpg,21
valid,frame_with_red_2115_jpg.rf.4a0954186d0ad5049745280557faf8e1.jpg,2115,frame_with_red_2119_jpg.rf.1d43cbd4d3f4a3ab076a5d684863fd3b.jpg,4,frame_with_red_2814_jpg.rf.767390e989970a06b25f1c64d94625e8.jpg,16
valid,frame_with_red_2127_jpg.rf.4bbd96b3745c6c9dbe65b8b78c819c72.jpg,2127,frame_with_red_2130_jpg.rf.e95d2184840b265d6eda83b0671fc5d2.jpg,3,frame_with_red_3856_jpg.rf.3bf4ea3e44adcea7478761baeedb5bc6.jpg,14
valid,frame_with_red_2133_jpg.rf.b15012215c94a5f95e207d2aab4a35cf.jpg,2133,frame_with_red_2130_jpg.rf.e95d2184840b265d6eda83b0671fc5d2.jpg,3,frame_with_red_3523_jpg.rf.88f551f79d51a083323898fa0ea22333.jpg,25
valid,frame_with_red_215_jpg.rf.f9ca37e3128050d5da8bd6f2519cb58a.jpg,215,frame_with_red_208_jpg.rf.c76c4799fa8c44db014695aa51a86933.jpg,7,frame_with_red_11808_jpg.rf.c945fa3fe06ca65a8721df2e500b7fef.jpg,22
valid,frame_with_red_220_jpg.rf.480e53d435de7b2189a3acda931f4e1a.jpg,220,frame_with_red_225_jpg.rf.1d9776c267300dc5b1ad762cbcd62292.jpg,5,frame_with_red_2556_jpg.rf.91fd3dbee2f4f0fbd27c42e359b2fb8c.jpg,21
valid,frame_with_red_2223_jpg.rf.16030b17c980e6841d22f8db05e04c36.jpg,2223,frame_with_red_2223_jpg.rf.df4395409df500b89a40fafa9ee2e858.jpg,0,frame_with_red_8950_jpg.rf.ff6df37d3565553d5528c8a63e2fedf9.jpg,19
valid,frame_with_red_2243_jpg.rf.282a45bcabb39475bdf4536575ab8bbb.jpg,2243,frame_with_red_2246_jpg.rf.c451d4d665cddc9fd85733d05b7fc613.jpg,3,frame_with_red_440_jpg.rf.976e1062d2e6f76e97dbf2667cc9cd22.jpg,21
valid,frame_with_red_2247_jpg.rf.753ff4129ec0cbb4dbafc9ab61b1267c.jpg,2247,frame_with_red_2247_jpg.rf.0e2f67aba02151894a4353ccfa7d1e94.jpg,0,frame_with_red_1050_jpg.rf.7a32583caf3ec7296d9c245816c21e64.jpg,17
valid,frame_with_red_2259_jpg.rf.652dbc15d2c8e089ad2c6e73bd651b3c.jpg,2259,frame_with_red_2265_jpg.rf.05a3cffec77c71d6b88713e747c6aaa9.jpg,6,frame_with_red_2754_jpg.rf.8374e8d17a408c95313f7174923c4693.jpg,19
valid,frame_with_red_2289_jpg.rf.6e1fa889c48ec6bbef4bc93f8c0cabd2.jpg,2289,frame_with_red_2280_jpg.rf.4f413f03ca95c8e43897641d4e57bd41.jpg,9,frame_with_red_1098_jpg.rf.50b01715d2976272b2cf4c19df8db1d8.jpg,22
valid,frame_with_red_2409_jpg.rf.416352a2ccefdce25fa1cf2f09ec2233.jpg,2409,frame_with_red_2409_jpg.rf.7abb191f2d9e42cb4871aa1f0072b636.jpg,0,frame_with_red_1290_jpg.rf.d1eb8d45ca7c0ce9528f0cb9ee60e004.jpg,19
valid,frame_with_red_2617_jpg.rf.bfb5a23c60476fbcdbf34468e4904d87.jpg,2617,frame_with_red_2605_jpg.rf.b443c958f66ec2914a9fa6798e23bcad.jpg,12,frame_with_red_2562_jpg.rf.cabe86357762568a8d319166decb64c0.jpg,29
valid,frame_with_red_2659_jpg.rf.a38bd49cbdb14e7a6b946fbdcfb6ddae.jpg,2659,frame_with_red_2669_jpg.rf.2c39664b1dba703930d818e65aca9fa4.jpg,10,frame_with_red_8146_jpg.rf.9ace522beb2d8dba188cbaab291a6815.jpg,17
valid,frame_with_red_2743_jpg.rf.13c0924c9d103b0b39c6b5f2b3ebfdbc.jpg,2743,frame_with_red_2738_jpg.rf.ab3babd65a0a50fe49fe114c1f84ae8b.jpg,5,frame_with_red_11926_jpg.rf.01c99ca66010306e809a4c4cdf59156f.jpg,19
valid,frame_with_red_2840_jpg.rf.aa1f214f8c8949390bf90de17ed9d6ca.jpg,2840,frame_with_red_2838_jpg.rf.8ac9c607b28903d5a4735374efaa12ad.jpg,2,frame_with_red_2247_jpg.rf.0e2f67aba02151894a4353ccfa7d1e94.jpg,23
valid,frame_with_red_2878_jpg.rf.bbb5df1574bc13250db4957addf9f938.jpg,2878,frame_with_red_2882_jpg.rf.8fafb324802f8a33e8b43803ef68a8c1.jpg,4,frame_with_red_94_jpg.rf.c7eb58e7ad6d23d54c1939d85b631fbc.jpg,24
valid,frame_with_red_2880_jpg.rf.8ccd196c3496e407ce7322d156e18b87.jpg,2880,frame_with_red_2882_jpg.rf.8fafb324802f8a33e8b43803ef68a8c1.jpg,2,frame_with_red_4685_jpg.rf.217e4cb498f5ec7ccaea25b950fde0bf.jpg,17
valid,frame_with_red_3080_jpg.rf.762bd6700da5cdf06c24802fe6d85e80.jpg,3080,frame_with_red_3078_jpg.rf.e960af77695874816d9f7c534de9dd5d.jpg,2,frame_with_red_8295_jpg.rf.96d2d85cba2ebe7ce2800f0e246aed9d.jpg,27
valid,frame_with_red_3482_jpg.rf.be009d6705d3241188d4cea2d669d7ca.jpg,3482,frame_with_red_3484_jpg.rf.942ba89759feb590c3bd574286ded540.jpg,2,frame_with_red_13205_jpg.rf.080ca5e6785d095d3494ac992960f560.jpg,20
valid,frame_with_red_36_jpg.rf.67b01d8674fa4457497b00f3ca2116b3.jpg,36,frame_with_red_35_jpg.rf.8481c51b0e9f68edb7dee107cd09eb81.jpg,1,frame_with_red_517_jpg.rf.08fc513e229c1c5e254d29764f11d10c.jpg,22
valid,frame_with_red_3888_jpg.rf.01ffed355aafe073c82b5f1b39f8ec9e.jpg,3888,frame_with_red_3891_jpg.rf.2940b70bce44aa243ca1d2a584cc7b1c.jpg,3,frame_with_red_2887_jpg.rf.dabb7bf101acb93fc2aed66af5fb8e7f.jpg,27
valid,frame_with_red_4085_jpg.rf.d0f49175346ef4218aec3567b86f84ae.jpg,4085,frame_with_red_4089_jpg.rf.4098bdc8c7eee94dd3c077d8f8b38dd6.jpg,4,frame_with_red_8974_jpg.rf.46896b1c4a700fbb7a13efc264736fd9.jpg,16
valid,frame_with_red_4135_jpg.rf.6d972ab2f6731a06e6bb1b18eec05994.jpg,4135,frame_with_red_4145_jpg.rf.c6dffd3362b08b6dd4e71a41dd5cae96.jpg,10,frame_with_red_727_jpg.rf.5610a6c1114681227b84605b63cf4a6f.jpg,17
valid,frame_with_red_415_jpg.rf.1be6356891166127f560fa3c99e5a258.jpg,415,frame_with_red_412_jpg.rf.82192fa29174a742fac3ec32daac8626.jpg,3,frame_with_red_2309_jpg.rf.0870acf053f8a5711b56a775f927d001.jpg,15
valid,frame_with_red_4165_jpg.rf.b84928665f2a38d828291337e603b8b1.jpg,4165,frame_with_red_4167_jpg.rf.cd1ec46559954837a1bcad6442ca3457.jpg,2,frame_with_red_2887_jpg.rf.dabb7bf101acb93fc2aed66af5fb8e7f.jpg,27
valid,frame_with_red_4304_jpg.rf.fff0adbb3e3e5276139ef808663ae67a.jpg,4304,frame_with_red_4306_jpg.rf.244487f98662d0e19a34f455ef923465.jpg,2,frame_with_red_6507_jpg.rf.2ef629779c432e81681b676a66117af1.jpg,20
valid,frame_with_red_4535_jpg.rf.4865489f2c29d7a7ac5a922ed6f67ab8.jpg,4535,frame_with_red_4525_jpg.rf.56b667c3330104b3089526a6e8553f89.jpg,10,frame_with_red_6777_jpg.rf.7b53c93e5f5d4c0b8713323249ecb612.jpg,21
valid,frame_with_red_4704_jpg.rf.7b4a08d4e3c2c2b5b570f0d8e278a41c.jpg,4704,frame_with_red_4704_jpg.rf.2e17be382c77831fcfc57669f0b59331.jpg,0,frame_with_red_5033_jpg.rf.848e6f7d6cdf3e28f9bcc263fc188b28.jpg,17
valid,frame_with_red_4834_jpg.rf.34d22d17a467988785a269ba96610fc5.jpg,4834,frame_with_red_4836_jpg.rf.9fcf40b7328ded2e5cafd552aa07645b.jpg,2,frame_with_red_11926_jpg.rf.01c99ca66010306e809a4c4cdf59156f.jpg,17
valid,frame_with_red_4847_jpg.rf.e15bc1d6c09606ddce7f1d97c1a93fa0.jpg,4847,frame_with_red_4851_jpg.rf.6ab504cf0cf386ecdb8102f0a0db49d0.jpg,4,frame_with_red_2754_jpg.rf.8374e8d17a408c95313f7174923c4693.jpg,12
valid,frame_with_red_4925_jpg.rf.85bb135227d6333d32412bf3ca3d216a.jpg,4925,frame_with_red_4910_jpg.rf.f0c961b2aae3191e008d5f2b2fcdbba0.jpg,15,frame_with_red_7159_jpg.rf.8e32f2d27365ee90cd4c6bb107b429d4.jpg,19
valid,frame_with_red_5146_jpg.rf.fb72f03a5cbe62783836dbeeacd63f34.jpg,5146,frame_with_red_5166_jpg.rf.345b7de2686a5bf30e7ca00eefbb3e73.jpg,20,frame_with_red_8139_jpg.rf.1858e838bc8c3df65bfa3d21e4ba9b86.jpg,20
valid,frame_with_red_5165_jpg.rf.e88bcac3ba2ead53d8dfdbc887a1642f.jpg,5165,frame_with_red_5166_jpg.rf.345b7de2686a5bf30e7ca00eefbb3e73.jpg,1,frame_with_red_9024_jpg.rf.77698238d31cdc554be6d05a5e5f7ccb.jpg,16
valid,frame_with_red_531_jpg.rf.429cd27812e8ad2e0727a12859526908.jpg,531,frame_with_red_532_jpg.rf.76207cd49882ff59852cacaf4b330766.jpg,1,frame_with_red_625_jpg.rf.bd8476214712b39d1457120b084748f7.jpg,19
valid,frame_with_red_5359_jpg.rf.4699d614dc42bb797098b4805629d31b.jpg,5359,frame_with_red_5394_jpg.rf.78842fc57ac215c08b66f3e5b4ba44c1.jpg,35,frame_with_red_6013_jpg.rf.38fd3d760ab39549a5382f26c61f7607.jpg,10
valid,frame_with_red_5667_jpg.rf.916c8ad35d335ab83020892fc95670ad.jpg,5667,frame_with_red_5671_jpg.rf.b7040b65d75f6c2c34dff8779721f01e.jpg,4,frame_with_red_5591_jpg.rf.1598e93cda7da90c9240c60bd152be57.jpg,29
valid,frame_with_red_5859_jpg.rf.cf4d7c55a3159a66b7233e236832f3aa.jpg,5859,frame_with_red_5858_jpg.rf.faf352a88cb45c5f666a33689d667ac8.jpg,1,frame_with_red_12979_jpg.rf.fa118b38238b39325ef7266f539daa73.jpg,15
valid,frame_with_red_6043_jpg.rf.3d68d9b3f533811689e5b5ae143817d8.jpg,6043,frame_with_red_6040_jpg.rf.6ef059d7b8826c5bff0e34db92483ce1.jpg,3,frame_with_red_4545_jpg.rf.c88acbda7021c4ca9e82cf9304ffdb95.jpg,20
valid,frame_with_red_6071_jpg.rf.c7bbab41bbfd28c09ffa09ac59dfc939.jpg,6071,frame_with_red_6070_jpg.rf.20477fc476cf298fdfbe535ec606a427.jpg,1,frame_with_red_1050_jpg.rf.7a32583caf3ec7296d9c245816c21e64.jpg,17
valid,frame_with_red_6144_jpg.rf.c9f64a32b0ae95ea20c9fa31be348914.jpg,6144,frame_with_red_6143_jpg.rf.5c47214ee39aaf2c09f075af88f0a44b.jpg,1,frame_with_red_3725_jpg.rf.e308f67d560274befa82816830a02239.jpg,22
valid,frame_with_red_6159_jpg.rf.a1b3ab08f44e1d8731458f3596737114.jpg,6159,frame_with_red_6164_jpg.rf.8b5a791c4456b5d0685c0be4fae036cf.jpg,5,frame_with_red_4485_jpg.rf.c8a01249c0c1e675014194cfe3b38e6a.jpg,14
valid,frame_with_red_6194_jpg.rf.105aaa72b975464e4d15d52359f51d8b.jpg,6194,frame_with_red_6195_jpg.rf.a10ba565deddda32e4bc44fc789632bc.jpg,1,frame_with_red_3884_jpg.rf.147fe4972ceb70f941116dd14dfcc55d.jpg,13
valid,frame_with_red_6238_jpg.rf.bcb094a360cd319dbc6bc5ab0eaae996.jpg,6238,frame_with_red_6237_jpg.rf.8020f8b3dbeda933e7d09874faf7f38c.jpg,1,frame_with_red_8418_jpg.rf.7f6eee3862f14aad948aa2133a1e3940.jpg,21
valid,frame_with_red_6240_jpg.rf.3be78821a926282fbc9b21fc0ffea9b9.jpg,6240,frame_with_red_6237_jpg.rf.8020f8b3dbeda933e7d09874faf7f38c.jpg,3,frame_with_red_3398_jpg.rf.3075402de35c916a1054a737ec879eea.jpg,18
valid,frame_with_red_6264_jpg.rf.6a83f91db03e1448cad8e12e8498163e.jpg,6264,frame_with_red_6265_jpg.rf.e53b974835c9d2be7b4445b5b329d200.jpg,1,frame_with_red_4776_jpg.rf.7c7615087652995c65580b0946609470.jpg,14
valid,frame_with_red_6290_jpg.rf.4c2104ba17b94c9d503ea00054131d00.jpg,6290,frame_with_red_6288_jpg.rf.1235ad59ead38d0406dfcb9a13da975b.jpg,2,frame_with_red_4836_jpg.rf.9fcf40b7328ded2e5cafd552aa07645b.jpg,15
valid,frame_with_red_6313_jpg.rf.feaff20fe93898764fb7ced60d7571d4.jpg,6313,frame_with_red_6312_jpg.rf.0d1b556732a17c70a7baca8d60badb54.jpg,1,frame_with_red_5054_jpg.rf.da4f0e3b7b1ffd40b39db066a3e28495.jpg,18
valid,frame_with_red_6380_jpg.rf.8844818fde45c20cb438d25de4559879.jpg,6380,frame_with_red_6378_jpg.rf.6db3bf9d2651cce1b9df0e86041a597f.jpg,2,frame_with_red_2645_jpg.rf.a79d34e241897e3dbf65893987eccc48.jpg,20
valid,frame_with_red_644_jpg.rf.f82f7184bd95eba705a1ca74c5bdada4.jpg,644,frame_with_red_647_jpg.rf.d8457fb0ce54d2047ba56f3c40d30792.jpg,3,frame_with_red_3884_jpg.rf.147fe4972ceb70f941116dd14dfcc55d.jpg,18
valid,frame_with_red_6496_jpg.rf.c54474f01dd73e02eaaab8bb22258167.jpg,6496,frame_with_red_6493_jpg.rf.b322d795e510afdaca748b8bbd3548b8.jpg,3,frame_with_red_8668_jpg.rf.23843a02a70484db15baf448d5c7bdaf.jpg,13
valid,frame_with_red_6510_jpg.rf.f7ffad6c66c4c85c96e8a6b9d4800880.jpg,6510,frame_with_red_6510_jpg.rf.aa286df841f009ff65346bccceb02746.jpg,0,frame_with_red_8137_jpg.rf.89a199255cfa7c767ce082dec8606322.jpg,20
valid,frame_with_red_6680_jpg.rf.59ff0dfa0632c9b6a4149df1edb6b312.jpg,6680,frame_with_red_6681_jpg.rf.969108a05f458eb3ff2e855ae5cca19c.jpg,1,frame_with_red_7725_jpg.rf.ec118b147a66fb39f5a46c7e3083aeb3.jpg,16
valid,frame_with_red_6690_jpg.rf.b949bf377c3b84b579363142de465aef.jpg,6690,frame_with_red_6684_jpg.rf.6315ced9225407e776f65e2079921615.jpg,6,frame_with_red_10459_jpg.rf.9a7560a8521e7420d6a3b2f0130cbda4.jpg,19
valid,frame_with_red_6698_jpg.rf.664bdac477539d9380ead8947bb66dc2.jpg,6698,frame_with_red_6697_jpg.rf.5e7429789037d58a05233e8922fc0006.jpg,1,frame_with_red_3835_jpg.rf.d1bf0b66e469f856a5d8ed3564059faf.jpg,27
valid,frame_with_red_6752_jpg.rf.10f6cabd96267b13087ca3bff5e2bc87.jpg,6752,frame_with_red_6751_jpg.rf.c5570ea2170a4f8f150722bf9f737886.jpg,1,frame_with_red_6789_jpg.rf.b56d7212bf9fcf746d7b10cf4db85cc6.jpg,13
valid,frame_with_red_6971_jpg.rf.f4507f04e97e079bc4f9cd399a740555.jpg,6971,frame_with_red_6976_jpg.rf.e264c51fe67720290b7e1f6008fef0b7.jpg,5,frame_with_red_11891_jpg.rf.9a0bdca20be4aac4012e06fe21b51890.jpg,19
valid,frame_with_red_6983_jpg.rf.8d347bcae96feb82a1e8b162d21eb630.jpg,6983,frame_with_red_6981_jpg.rf.fa5d471fa6b0b3dde99ee7ef60a15445.jpg,2,frame_with_red_3711_jpg.rf.b27a10fb85d1a17cda6c2ee4c2989ec1.jpg,14
valid,frame_with_red_7001_jpg.rf.b13f6b97e8da44d5c2ab149aef6f277c.jpg,7001,frame_with_red_6999_jpg.rf.83fe64f6c13a5da462b495b2ee78eb0c.jpg,2,frame_with_red_1579_jpg.rf.2be541a88d34360b490b3771a955c9fd.jpg,21
valid,frame_with_red_702_jpg.rf.1aabf00b7309756b58672197dbcc3bd5.jpg,702,frame_with_red_701_jpg.rf.a268e420cc9d2f68764c6820780206d3.jpg,1,frame_with_red_4183_jpg.rf.1f28a3c303709c5755eadfca416238d4.jpg,16
valid,frame_with_red_7030_jpg.rf.1d4ce0e8ba341d6ecade3b307479a4f1.jpg,7030,frame_with_red_7031_jpg.rf.0aeaf5f4b36f288188ef891b0d22f7bc.jpg,1,frame_with_red_2041_jpg.rf.ca0d4c591e115e3e0e1a55e7ec94d457.jpg,15
valid,frame_with_red_7170_jpg.rf.68073bad31c11e29e87e013b96d30ae2.jpg,7170,frame_with_red_7164_jpg.rf.111f4fb46e85994d5d1c38bcc298a326.jpg,6,frame_with_red_8668_jpg.rf.23843a02a70484db15baf448d5c7bdaf.jpg,18
valid,frame_with_red_7267_jpg.rf.2d070fce873d891bde65922a4486bf5e.jpg,7267,frame_with_red_7265_jpg.rf.994f9912af14754517113a646f8e965a.jpg,2,frame_with_red_4217_jpg.rf.33d8d1e2755b1c93a2732c6ace3e5f01.jpg,13
valid,frame_with_red_7277_jpg.rf.0e7af45a2e330e8a993ddef6af02f754.jpg,7277,frame_with_red_7277_jpg.rf.33628e3157d676a11a1f7736a1a9b39f.jpg,0,frame_with_red_1484_jpg.rf.602426664cbabc1329c56a6a86b9ab03.jpg,15
valid,frame_with_red_7302_jpg.rf.6d6b3b3460cd582e662024ddf90baa9d.jpg,7302,frame_with_red_7300_jpg.rf.b60500e32d65a9940d887bc28a4f34fd.jpg,2,frame_with_red_5836_jpg.rf.03d33e3c9f1ac0e8d8a8f8c860861903.jpg,15
valid,frame_with_red_7340_jpg.rf.2198ad3b84f428b63e1a70ff859dcc33.jpg,7340,frame_with_red_7339_jpg.rf.4f239c1118ce413148fe6276f24d0def.jpg,1,frame_with_red_6937_jpg.rf.c6ab0fb7cf24d069d2b1b21855a230ce.jpg,19
valid,frame_with_red_7363_jpg.rf.23c0654f6391d35594c32285e4fb64a9.jpg,7363,frame_with_red_7368_jpg.rf.54de0b53682e2da825d89a4679ade7d8.jpg,5,frame_with_red_13364_jpg.rf.5a83f27a6b782d38f9140fefc7f0f795.jpg,18
valid,frame_with_red_7508_jpg.rf.1faf85c17eadf4014bdc5dd7afe0f5a7.jpg,7508,frame_with_red_7508_jpg.rf.02dd64bd86cb3647b0b471072db50664.jpg,0,frame_with_red_3518_jpg.rf.cf66b7c9b2491544553f9903c6d366f1.jpg,14
valid,frame_with_red_7555_jpg.rf.1768cf7eff0082c0573f3c40ea7d4a5a.jpg,7555,frame_with_red_7555_jpg.rf.cae545490aab496634847090e175cbd6.jpg,0,frame_with_red_2305_jpg.rf.299b930bbc5d171d288afa28bab0bbcd.jpg,17
valid,frame_with_red_7653_jpg.rf.a41fe59bb63528b4096451bbb2bdae6e.jpg,7653,frame_with_red_7653_jpg.rf.ec076169038d97e4dcf3753b59f6ffce.jpg,0,frame_with_red_7277_jpg.rf.33628e3157d676a11a1f7736a1a9b39f.jpg,17
valid,frame_with_red_7665_jpg.rf.c6994761a86e81ef6b8546b34767a425.jpg,7665,frame_with_red_7665_jpg.rf.89622039d47b42d051ce5ba20fe50c8f.jpg,0,frame_with_red_6373_jpg.rf.8f36dfd1865fc94f98b2789ae164900c.jpg,16
valid,frame_with_red_7687_jpg.rf.0a6a3fd6e8cf3cae9cc1141c7fe12ac7.jpg,7687,frame_with_red_7686_jpg.rf.28fc3cc02fb3b494203fcddebcfb5825.jpg,1,frame_with_red_5056_jpg.rf.ddbf2baebd17c6da107c22845b4308bf.jpg,16
valid,frame_with_red_7689_jpg.rf.5480ce8c577cc8eb96fc09676d8dff3a.jpg,7689,frame_with_red_7686_jpg.rf.28fc3cc02fb3b494203fcddebcfb5825.jpg,3,frame_with_red_8252_jpg.rf.cc94db7c57596806e6ec98479f98289a.jpg,16
valid,frame_with_red_7783_jpg.rf.3881c527d2da8a106490098e31e39717.jpg,7783,frame_with_red_7783_jpg.rf.91c7267aa0f0154838dae8da3f6dacfa.jpg,0,frame_with_red_8974_jpg.rf.46896b1c4a700fbb7a13efc264736fd9.jpg,23
